PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
48777,42,Male,Europe,Strategy,23.40067773265676,0,Easy,12,140,3,44,High
48778,29,Male,Asia,Sports,17.61714138048019,0,Hard,10,40,23,35,Medium
48779,47,Male,Europe,Simulation,21.074634885793852,1,Easy,15,169,45,22,High
48780,16,Female,Asia,Simulation,22.640076487919064,0,Easy,6,126,35,8,Medium
48781,22,Male,Europe,Action,15.066360016827463,0,Easy,12,179,30,9,High
48782,47,Male,Other,Action,3.4258485756143253,0,Hard,15,37,66,7,Low
48783,49,Female,Europe,Strategy,12.133486688628388,1,Medium,2,120,92,36,High
48784,32,Male,Asia,Simulation,12.010630061660368,0,Medium,0,146,75,15,Low
48785,40,Male,USA,Simulation,8.392622114654618,0,Hard,1,43,54,17,Low
48786,35,Female,Europe,RPG,8.716112200210311,0,Hard,12,74,91,23,Medium
48787,42,Male,USA,Action,11.525053273860564,1,Hard,6,116,35,15,Medium
48788,34,Male,USA,RPG,9.719706454495531,1,Easy,2,98,22,15,Low
48789,34,Male,Europe,Action,16.641126484374574,1,Medium,13,40,79,21,Medium
48790,18,Male,Europe,Sports,1.614049287399565,0,Medium,19,76,52,36,High
48791,48,Male,Europe,Simulation,8.851156438214163,1,Medium,8,149,18,24,Medium
48792,27,Male,Europe,Sports,21.467517904335907,1,Easy,5,84,72,25,Low
48793,45,Female,Asia,Strategy,10.38883649461708,0,Easy,16,36,96,42,Medium
48794,21,Male,Asia,Action,1.8256931197613193,0,Medium,15,69,37,21,High
48795,31,Male,Asia,Strategy,4.539595716916929,0,Hard,5,45,14,7,Low
48796,26,Female,Asia,Sports,19.05682115115261,0,Easy,1,95,59,48,Low
48797,44,Female,Europe,Strategy,12.471250188229664,1,Hard,0,79,47,16,Low
48798,48,Male,USA,Sports,5.2369451358439045,0,Easy,3,11,48,34,Low
48799,36,Male,USA,RPG,11.365354770649656,0,Medium,4,48,73,27,Low
48800,35,Male,Other,Simulation,0.2935057239200729,0,Medium,18,55,16,34,Medium
48801,23,Male,USA,RPG,2.562117015379445,0,Medium,18,104,8,41,High
48802,26,Female,Asia,Sports,6.781517752666096,0,Hard,0,49,79,39,Medium
48803,31,Male,USA,Sports,9.722244463332473,0,Easy,2,147,50,11,Low
48804,30,Male,USA,Strategy,1.416771417991039,0,Easy,7,108,48,7,Medium
48805,19,Female,USA,Strategy,9.021740437652443,0,Hard,3,164,50,11,Medium
48806,33,Male,Asia,Action,2.724532857815305,0,Hard,14,31,94,45,Medium
48807,42,Female,Europe,Simulation,19.08901896684907,0,Medium,2,76,51,47,Low
48808,31,Male,Other,Simulation,12.796473097960355,0,Hard,1,139,78,40,Low
48809,36,Male,Asia,RPG,6.790456410983016,0,Easy,8,15,7,33,Low
48810,49,Male,Europe,Strategy,5.609614590051298,0,Medium,3,17,63,19,Low
48811,29,Male,Asia,Simulation,2.248812658779867,0,Hard,15,96,51,12,High
48812,33,Male,Asia,RPG,19.37036477409663,1,Hard,4,45,90,33,Medium
48813,40,Female,Other,Strategy,8.05908406888971,0,Medium,15,176,62,21,High
